Area;Question
Data science;Mention the differences between Data Mining and Data Profiling?
Data science;What are the various steps involved in any analytics project?
Data science;Define the term 'Data Wrangling in Data Analytics.
Data science;What are the common problems that data analysts encounter during analysis?
Data science;Which are the technical tools that you have used for analysis and presentation purposes?
Data science;What are the best methods for data cleaning?
Data science;What is the significance of Exploratory Data Analysis (EDA)?
Data science;Explain descriptive, predictive, and prescriptive analytics.
Data science;What are the different types of sampling techniques used by data analysts?
Data science;Describe univariate, bivariate, and multivariate analysis.
Data science;How can you handle missing values in a dataset?
Data science; Explain the term Normal Distribution.
Data science;What is Time Series analysis?
Data science;How is Overfitting different from Underfitting?
Data science;How do you treat outliers in a dataset? 
Data science;What are the different types of Hypothesis testing?
Data science;Explain the Type I and Type II errors in Statistics?
Data science;In Microsoft Excel, a numeric value can be treated as a text value if it precedes with what?
Data science;What is the difference between COUNT, COUNTA, COUNTBLANK, and COUNTIF in Excel?
Data science;How do you make a dropdown list in MS Excel?
Data science;Can you provide a dynamic range in “Data Source” for a Pivot table?
Data science;What is the function to find the day of the week for a particular date value
Data science;How does the AND() function work in Excel?
Data science;Explain how VLOOKUP works in Excel?
Data science;What function would you use to get the current date and time in Excel?
Data science;How do you subset or filter data in SQL?
Data science;What is the difference between a WHERE clause and a HAVING clause in SQL?
Data science;Is the below SQL query correct? If not, how will you rectify it?
Data science;How are Union, Intersect, and Except used in SQL?
Data science;What is a Subquery in SQL?
Data science;How do you write a stored procedure in SQL?
Data science;Write an SQL stored procedure to find the total even number between two users given numbers.
Data science;How is joining different from blending in Tableau?
Data science;What do you understand by LOD in Tableau?
Data science;What are the different connection types in Tableau Software?
Data science;What are the different joins that Tableau provides?
Data science;What is a Gantt Chart in Tableau?
Data science;What is the difference between Treemaps and Heatmaps in Tableau?
Data science;What is the correct syntax for reshape() function in NumPy? 
Data science;What are the different ways to create a data frame in Pandas?
Data science;How can you add a column to a Pandas Data Frame?
Data science;How will you print four random integers between 1 and 15 using NumPy?
Data science;What are the differences between supervised and unsupervised learning?
Data science;How is logistic regression done?
Data science;Explain the steps in making a decision tree.
Data science;How do you build a random forest model?
Data science;How can you avoid overfitting your model?
Data science;Differentiate between univariate, bivariate, and multivariate analysis.
Data science;What are the feature selection methods used to select the right variables?
Data science;You are given a data set consisting of variables with more than 30 percent missing values. How will you deal with them?
Data science;What are dimensionality reduction and its benefits?
Data science;How should you maintain a deployed model?
Data science;What are recommender systems?
Data science; How do you find RMSE and MSE in a linear regression model?
Data science;How can you select k for k-means? 
Data science;What is the significance of p-value?
